name	patrM	patrF
Владимир	Владимирович	Владимировна
Владислав	Владиславович|Владиславич	Владиславовна|Владиславна
Владлен	Владленович	Владленовна
Влас	Власович	Власовна
Власий	Власиевич|Власьевич	Власиевна|Власьевна
Вонифат	Вонифатович	Вонифатовна
Вонифатий	Вонифатиевич|Вонифатьевич	Вонифатиевна|Вонифатьевна
Всеволод	Всеволодович	Всеволодовна
Всеслав	Всеславович|Всеславич	Всеславовна|Всеславна
Вукол	Вуколович	Вуколовна
Вышеслав	Вышеславович|Вышеславич	Вышеславовна|Вышеславна
Вячеслав	Вячеславович|Вячеславич	Вячеславовна|Вячеславна
Гавриил	Гавриилович	Гаврииловна
Гаврил|Гаврила	Гаврильевич|Гаврилович	Гаврильевна|Гавриловна
Галактион	Галактионович	Галактионовна
Гедеон	Гедеонович	Гедеоновна
Гедимин	Гедиминович	Гедиминовна
Геласий	Геласиевич|Геласьевич	Геласиевна|Геласьевна
Гелий	Гелиевич	Гелиевна
Геннадий	Геннадиевич|Геннадьевич	Геннадиевна|Геннадьевна
Генрих	Генрихович	Генриховна
Георгий	Георгиевич	Георгиевна
Герасим	Герасимович	Герасимовна
Гервасий	Гервасиевич|Гервасьевич	Гервасиевна|Гервасьевна
Герман	Германович	Германовна
Гермоген	Гермогенович	Гермогеновна
Геронтий	Геронтиевич|Геронтьевич	Геронтиевна|Геронтьевна
Гиацинт	Гиацинтович	Гиацинтовна
Глеб	Глебович	Глебовна
Гораций	Горациевич	Горациевна
Горгоний	Горгониевич|Горгоньевич	Горгониевна|Горгоньевна
Гордей	Гордеевич	Гордеевна
Гостомысл	Гостомыслович	Гостомысловна
Гремислав	Гремиславович|Гремиславич	Гремиславовна|Гремиславна
Григорий	Григорьевич	Григорьевна
Гурий	Гуриевич|Гурьевич	Гуриевна|Гурьевна
Гурьян	Гурьянович	Гурьяновна
Давид	Давидович	Давидовна
Давыд	Давыдович	Давыдовна
Далмат	Далматович	Далматовна
Даниил	Даниилович	Данииловна
Данил|Данила	Данилович	Даниловна
Деодор	Деодорович	Деодоровна
Дементий	Дементиевич|Дементьевич	Дементиевна|Дементьевна
Демид	Демидович	Демидовна
Демьян	Демьянович	Демьяновна
Денис	Денисович	Денисовна
Денисий	Денисиевич|Денисьевич	Денисиевна|Денисьевна
Димитрий	Димитриевич	Димитриевна
Диомид	Диомидович	Диомидовна
Дионисий	Дионисиевич|Дионисьевич	Дионисиевна|Дионисьевна
Дмитрий	Дмитриевич	Дмитриевна
Добромысл	Добромыслович	Добромысловна
Добрыня	Добрынич	Добрынична
Довмонт	Довмонтович	Довмонтовна
Доминик	Доминикович	Доминиковна
Донат	Донатович	Донатовна
Доримедонт	Доримедонтович	Доримедонтовна
Дормедонт	Дормедонтович	Дормедонтовна
Дормидонт	Дормидонтович	Дормидонтовна
Дорофей	Дорофеевич	Дорофеевна
Досифей	Досифеевич	Досифеевна
Евгений	Евгениевич|Евгеньевич	Евгениевна|Евгеньевна
Евграф	Евграфович	Евграфовна
Евграфий	Евграфиевич|Евграфьевич	Евграфиевна|Евграфьевна
Евдоким	Евдокимович	Евдокимовна
Евлампий	Евлампиевич|Евлампьевич	Евлампиевна|Евлампьевна
Евлогий	Евлогиевич	Евлогиевна
Евмен	Евменович	Евменовна
Евмений	Евмениевич|Евменьевич	Евмениевна|Евменьевна
Евсей	Евсеевич	Евсеевна
Евстафий	Евстафиевич|Евстафьевич	Евстафиевна|Евстафьевна
Евстахий	Евстахиевич|Евстахьевич	Евстахиевна|Евстахьевна
Евстигней	Евстигнеевич	Евстигнеевна
Евстрат	Евстратович	Евстратовна
Евстратий	Евстратиевич|Евстратьевич	Евстратиевна|Евстратьевна
Евтихий	Евтихиевич|Евтихьевич	Евтихиевна|Евтихьевна
Евфимий	Евфимиевич|Евфимьевич	Евфимиевна|Евфимьевна
Егор	Егорович	Егоровна
Егорий	Егориевич|Егорьевич	Егориевна|Егорьевна
Елизар	Елизарович	Елизаровна
Елисей	Елисеевич	Елисеевна
Елистрат	Елистратович	Елистратовна
Елпидифор	Елпидифорович	Елпидифоровна
Емельян	Емельянович	Емельяновна
Епифан	Епифанович	Епифановна
Епифаний	Епифаниевич|Епифаньевич	Епифаниевна|Епифаньевна
Еремей	Еремеевич	Еремеевна
Ермий	Ермиевич	Ермиевна
Ермил	Ермилович	Ермиловна
Ермила	Ермилич	Ермилична
Ермилий	Ермилиевич|Ермильевич	Ермилиевна|Ермильевна
Ермолай	Ермолаевич	Ермолаевна
Ерофей	Ерофеевич	Ерофеевна
Ефим	Ефимович	Ефимовна
Ефимий	Ефимиевич|Ефимьевич	Ефимиевна|Ефимьевна
Ефрем	Ефремович	Ефремовна
Ефремий	Ефремиевич|Ефремьевич	Ефремиевна|Ефремьевна
Захар	Захарович	Захаровна
Захарий	Захариевич|Захарьевич	Захариевна|Захарьевна
Зенон	Зенонович	Зеноновна
Зиновий	Зиновиевич|Зиновьевич	Зиновиевна|Зиновьевна
Зосим	Зосимович	Зосимовна
Зосима	Зосимич	Зосимична
Иаким	Иакимович	Иакимовна
Иакинф	Иакинфович	Иакинфовна
Иван	Иванович	Ивановна
Игнат	Игнатович	Игнатовна
Игнатий	Игнатиевич|Игнатьевич	Игнатиевна|Игнатьевна
Игорь	Игоревич	Игоревна
Иероним	Иеронимович	Иеронимовна
Измаил	Измаилович|Измайлович	Измаиловна|Измайловна
Изосим	Изосимович	Изосимовна
Изот	Изотович	Изотовна
Изяслав	Изяславович|Изяславич	Изяславовна|Изяславна
Илиодор	Илиодорович	Илиодоровна
Илларион	Илларионович	Илларионовна
Иларион	Иларионович	Иларионовна
Илья	Ильич	Ильинична
Иннокентий	Иннокентиевич|Иннокентьевич	Иннокентиевна|Иннокентьевна
Иоанн	Иоаннович	Иоанновна
Иов	Иович	Иовна
Иона	Ионич	Ионична
Иосафат	Иосафатович	Иосафатовна
Иосиф	Иосифович	Иосифовна
Ипат	Ипатович	Ипатовна
Ипатий	Ипатиевич|Ипатьевич	Ипатиевна|Ипатьевна
Ипполит	Ипполитович	Ипполитовна
Ираклий	Ираклиевич	Ираклиевна
Иринарх	Иринархович	Иринарховна
Ириней	Иринеевич	Иринеевна
Иродион	Иродионович	Иродионовна
Исаак	Исаакович	Исааковна
Исаакий	Исаакиевич	Исаакиевна
Исай	Исаевич	Исаевна
Исак	Исакович	Исаковна
Исакий	Исакиевич	Исакиевна
Исидор	Исидорович	Исидоровна
Иустин	Иустинович	Иустиновна
Казимир	Казимирович	Казимировна
Каллимах	Каллимахович	Каллимаховна
Каллиник	Каллиникович	Каллиниковна
Каллиопий	Каллиопиевич	Каллиопиевна
Каллист	Каллистович	Каллистовна
Каллистрат	Каллистратович	Каллистратовна
Каллисфен	Каллисфенович	Каллисфеновна
Калуф	Калуфович	Калуфовна
Кандидий	Кандидиевич|Кандидьевич	Кандидиевна|Кандидьевна
Кантидиан	Кантидианович	Кантидиановна
Капик	Капикович	Капиковна
Капитон	Капитонович	Капитоновна
Карион	Карионович	Карионовна
Карл	Карлович	Карловна
Карп	Карпович	Карповна
Кастрихий	Кастрихиевич|Кастрихьевич	Кастрихиевна|Кастрихьевна
Касьян	Касьянович	Касьяновна
Ким	Кимович	Кимовна
Киприан	Киприанович	Киприановна
Кир	Кирович	Кировна
Кириак	Кириакович	Кириаковна
Кирьяк	Кирьякович	Кирьяковна
Кирик	Кирикович	Кириковна
Кирилл	Кириллович	Кирилловна
Кирсан	Кирсанович	Кирсановна
Клавдий	Клавдиевич	Клавдиевна
Клим	Климович	Климовна
Климент	Климентович	Климентовна
Климентий	Климентиевич|Климентьевич	Климентиевна|Климентьевна
Кондрат	Кондратович	Кондратовна
Кондратий	Кондратиевич|Кондратьевич	Кондратиевна|Кондратьевна
Конон	Кононович	Кононовна
Конрад	Конрадович	Конрадовна
Константин	Константинович	Константиновна
Корней	Корнеевич	Корнеевна
Корнелий	Корнелиевич|Корнельевич	Корнелиевна|Корнельевна
Корнил	Корнилович	Корниловна
Корнилий	Корнилиевич|Корнильевич	Корнилиевна|Корнильевна
Ксенофонт	Ксенофонтович	Ксенофонтовна
Кузьма	Кузьмич	Кузьминична
Куприян	Куприянович	Куприяновна
Лавр	Лаврович	Лавровна
Лаврентий	Лаврентиевич|Лаврентьевич	Лаврентиевна|Лаврентьевна
Ладимир	Ладимирович	Ладимировна
Лазарь	Лазаревич	Лазаревна
Ларион	Ларионович	Ларионовна
Лев	Львович	Львовна
Леон	Леонович	Леоновна
Леонард	Леонардович	Леонардовна
Леонид	Леонидович	Леонидовна
Леонтий	Леонтиевич|Леонтьевич	Леонтиевна|Леонтьевна
Леопольд	Леопольдович	Леопольдовна
Логвин	Логвинович	Логвиновна
Логгин	Логгинович	Логгиновна
Лонгин	Лонгинович	Лонгиновна
Луарсаб	Луарсабович	Луарсабовна
Лука	Лукич	Лукинична
Лукан	Луканович	Лукановна
Лукиан	Лукианович	Лукиановна
Лукьян	Лукьянович	Лукьяновна
Любим	Любимович	Любимовна
Любомир	Любомирович	Любомировна
Любомысл	Любомыслович	Любомысловна
Люциан	Люцианович	Люциановна
Мавр	Маврович	Мавровна
Маврикий	Маврикиевич|Маврикьевич	Маврикиевна|Маврикьевна
Мавродий	Мавродиевич|Мавродьевич	Мавродиевна|Мавродьевна
Май	Маевич	Маевна
Макар	Макарович	Макаровна
Макарий	Макариевич|Макарьевич	Макариевна|Макарьевна
Македон	Македонович	Македоновна
Македоний	Македониевич|Македоньевич	Македониевна|Македоньевна
Максим	Максимович	Максимовна
Максимиан	Максимианович	Максимиановна
Максимилиан	Максимилианович	Максимилиановна
Максимильян	Максимильянович	Максимильяновна
Малх	Малхович	Малховна
Мануил	Мануилович	Мануиловна
Марат	Маратович	Маратовна
Мардарий	Мардариевич|Мардарьевич	Мардариевна|Мардарьевна
Мариан	Марианович	Мариановна
Марин	Маринович	Мариновна
Марк	Маркович	Марковна
Маркел	Маркелович	Маркеловна
Маркиан	Маркианович	Маркиановна
Марлен	Марленович	Марленовна
Мартимьян	Мартимьянович	Мартимьяновна
Мартин	Мартинович	Мартиновна
Мартиниан	Мартинианович	Мартиниановна
Мартирий	Мартириевич|Мартирьевич	Мартириевна|Мартирьевна
Мартын	Мартынович	Мартыновна
Мартьян	Мартьянович	Мартьяновна
Матвей	Матвеевич	Матвеевна
Мелентий	Мелентиевич|Мелентьевич	Мелентиевна|Мелентьевна
Мелетий	Мелетиевич|Мелетьевич	Мелетиевна|Мелетьевна
Меркул	Меркулович	Меркуловна
Меркурий	Меркуриевич|Меркурьевич	Меркуриевна|Меркурьевна
Мефодий	Мефодиевич|Мефодьевич	Мефодиевна|Мефодьевна
Мечислав	Мечиславович|Мечиславич	Мечиславовна|Мечиславна
Милан	Миланович	Милановна
Милен	Миленович	Миленовна
Милий	Милиевич	Милиевна
Мина	Минич	Минична
Минай	Минаевич	Минаевна
Мирон	Миронович	Мироновна
Мирослав	Мирославович|Мирославич	Мирославовна|Мирославна
Мисаил	Мисаилович	Мисаиловна
Митрофан	Митрофанович	Митрофановна
Митрофаний	Митрофаниевич|Митрофаньевич	Митрофаниевна|Митрофаньевна
Михаил	Михайлович	Михайловна
Михей	Михеевич	Михеевна
Модест	Модестович	Модестовна
Моисей	Моисеевич	Моисеевна
Мокей	Мокеевич	Мокеевна
Мокий	Мокиевич	Мокиевна
Мстислав	Мстиславович|Мстиславич	Мстиславовна|Мстиславна
Назар	Назарович	Назаровна
Назарий	Назариевич|Назарьевич	Назариевна|Назарьевна
Наркис	Наркисович	Наркисовна
Натан	Натанович	Натановна
Наум	Наумович	Наумовна
Нестер	Нестерович	Нестеровна
Нестор	Несторович	Несторовна
